"ExternalName","IntuneDeviceId","EntraDeviceId"
"mh-8cc2472wys","250f8803-5c0f-4ad8-bfac-df09da07e05d","210ff811-5e79-40fe-9046-d85894f18a37"
"dse-5cg32565vh","076959c8-1227-40a0-b0d2-800aea3137cf","d3687d30-fa70-464f-bfce-af245003520d"
"dse-5cd3291k3n","a3594f4e-1f62-4f3b-bcef-47d6c73ad526","667d9ac4-d961-4b50-9688-05617725cd10"
"dse-5cd4145qj2","7a6535cd-2e1c-4f4f-b1a8-aab0edcaaaff","e12d254e-73ce-4b24-ace3-0f8284f9457f"
"drilar-11038x8","862f1b22-4d23-4b74-9ab4-aa466e10da03","1496a927-8734-4feb-b409-6437e8fab9c2"
"druein-7072069","d3cb6fa1-8c89-408c-916b-82c028bfd8cc","f467ebea-69db-4d22-8c5c-008c5c3e1777"
"dse-5cd4178dmf","63b3b39a-c683-4595-a13e-69fc82a8f67f","a4cf4155-ceb6-406e-bdb2-12aff3a36e22"
"mh-8cc2472x1m","77d6e7bd-4983-4b18-9f6d-518dbdd620e7","bb9784e9-e6a4-44e4-9a61-345f5fe9b75d"
"dk-5cg21650n2","2e201ab2-4eb2-4f05-988c-99a8291d7b79","87d451dc-78ba-4a9a-944f-4312adaa8b6f"
"dse-5cd3291k43","f688748c-cfff-49d6-9c1d-db1d961cb8c9","e8df4373-2d6e-43ea-a97d-b224aa2e4d80"
"mh-8cc2472xcz","1a8abb69-93e5-4bf0-9066-bd0ecfd362b5","ccb3f86a-9802-454a-9d17-75cdd40f7011"
"drilbo-146d0j7","6c7a75ee-240d-4858-ae4f-d0ad60824697","540d898c-ee9c-4326-afc5-7bfd4c5d40f2"
"dse-pw021kt0","ed373fbc-b458-4dea-b9a9-0e91d29ec0e3","69204744-cff0-409c-8f42-4834510c5cc7"
"drildro-9404w5x","ed3538e9-89be-4691-9b88-37fffa93b429","37755821-5ba0-4b5b-841d-15c5d1534b79"
"hso-5cg246141y","7e5726e5-9512-493a-8c33-19df8fc4a760","5332fc6f-f724-4006-a813-4135827c7951"
"dse-5cg325669w","748f4d41-8cbf-4d6a-830b-6d887bbf1aaa","145fe238-331a-4583-806c-cdffe9abbd0c"
"dse-5cd4178dvh","9f11cd65-9032-433d-ab76-632377c80bfd","5d686658-3f83-4c6a-afb6-14b54579cf16"
"dk-5cg21653pq","a73e63aa-39ff-417b-8c69-5eefa2fb92f8","f9fcb39e-7c80-4a35-80aa-e596ea9ad6d2"
"dk-5cg2164zxb","6ae76cb1-2801-4b23-a379-0d053ee4d305","32c28edb-e971-4023-819f-eec5c72ec226"
"dse-5cd3293qwt","5ae67585-c360-46fa-8588-00e11818fee4","865762a8-ecc7-4ac3-b11e-f80f791cfd0d"
"dse-5cd4146g9t","93c94107-481d-4e87-b96e-d47e6990a072","08d1f514-3eb8-483c-9f40-4219d32d0eb5"
"dse-5cd0198g1r","4240056a-a275-400c-9466-bcaa03cf4722","203f098c-77dc-4194-ab10-874c1b4770ce"
"dse-5cd3297297","95dab98d-5f3c-4b37-b0f4-17d48f1c1296","e1cbfc76-9906-4cb2-a0a4-940282debd68"
